Label,Accuracy,source
No Finding,73.92%,mimic
Atelectasis,77.84%,mimic
Cardiomegaly,82.30%,mimic
Effusion,77.84%,mimic
Pneumonia,93.92%,mimic
Pneumothorax,96.08%,mimic
Consolidation,95.14%,mimic
Edema,89.59%,mimic
Any,59.19%,mimic
No Finding,65.24%,pad
Atelectasis,94.82%,pad
Cardiomegaly,89.94%,pad
Effusion,92.99%,pad
Pneumonia,93.90%,pad
Pneumothorax,100.00%,pad
Consolidation,99.09%,pad
Edema,99.09%,pad
Any,76.83%,pad
No Finding,90.48%,cxp
Atelectasis,15.40%,cxp
Cardiomegaly,66.98%,cxp
Effusion,42.86%,cxp
Pneumonia,96.98%,cxp
Pneumothorax,20.16%,cxp
Consolidation,6.83%,cxp
Edema,25.08%,cxp
Any,70.32%,cxp
No Finding,58.90%,nih
Atelectasis,90.14%,nih
Cardiomegaly,97.53%,nih
Effusion,86.30%,nih
Pneumonia,99.18%,nih
Pneumothorax,98.36%,nih
Consolidation,93.42%,nih
Edema,97.53%,nih
Any,70.96%,nih
No Finding,78.79%,cxp+nih
Atelectasis,85.53%,cxp+nih
Cardiomegaly,91.16%,cxp+nih
Effusion,73.47%,cxp+nih
Pneumonia,98.59%,cxp+nih
Pneumothorax,93.77%,cxp+nih
Consolidation,93.17%,cxp+nih
Edema,83.72%,cxp+nih
Any,63.02%,cxp+nih
No Finding,81.32%,cxp+pad
Atelectasis,87.89%,cxp+pad
Cardiomegaly,89.14%,cxp+pad
Effusion,75.99%,cxp+pad
Pneumonia,96.66%,cxp+pad
Pneumothorax,94.26%,cxp+pad
Consolidation,95.20%,cxp+pad
Edema,84.86%,cxp+pad
Any,62.11%,cxp+pad
No Finding,62.05%,nih+pad
Atelectasis,92.35%,nih+pad
Cardiomegaly,93.94%,nih+pad
Effusion,89.18%,nih+pad
Pneumonia,96.97%,nih+pad
Pneumothorax,99.13%,nih+pad
Consolidation,96.10%,nih+pad
Edema,98.27%,nih+pad
Any,74.31%,nih+pad
No Finding,71.16%,mimic+pad
Atelectasis,83.33%,mimic+pad
Cardiomegaly,85.49%,mimic+pad
Effusion,84.46%,mimic+pad
Pneumonia,93.91%,mimic+pad
Pneumothorax,97.28%,mimic+pad
Consolidation,96.25%,mimic+pad
Edema,91.67%,mimic+pad
Any,64.70%,mimic+pad
No Finding,70.68%,mimic+nih
Atelectasis,80.72%,mimic+nih
Cardiomegaly,87.69%,mimic+nih
Effusion,82.08%,mimic+nih
Pneumonia,95.38%,mimic+nih
Pneumothorax,96.83%,mimic+nih
Consolidation,94.57%,mimic+nih
Edema,92.49%,mimic+nih
Any,62.17%,mimic+nih
No Finding,81.82%,mimic+cxp
Atelectasis,80.51%,mimic+cxp
Cardiomegaly,85.11%,mimic+cxp
Effusion,74.89%,mimic+cxp
Pneumonia,95.69%,mimic+cxp
Pneumothorax,93.87%,mimic+cxp
Consolidation,94.23%,mimic+cxp
Edema,84.89%,mimic+cxp
Any,54.96%,mimic+cxp
No Finding,76.54%,cxp+mimic+nih+pad
Atelectasis,84.92%,cxp+mimic+nih+pad
Cardiomegaly,88.22%,cxp+mimic+nih+pad
Effusion,79.69%,cxp+mimic+nih+pad
Pneumonia,96.27%,cxp+mimic+nih+pad
Pneumothorax,95.64%,cxp+mimic+nih+pad
Consolidation,94.91%,cxp+mimic+nih+pad
Edema,88.90%,cxp+mimic+nih+pad
Any,61.61%,cxp+mimic+nih+pad
